loss,accuracy,val_loss,val_accuracy
2.8906776905059814,0.09083333611488342,2.7538928985595703,0.16388888657093048
2.548813581466675,0.21809524297714233,2.126305341720581,0.38499999046325684
2.056533098220825,0.3766666650772095,1.5999362468719482,0.5205555558204651
1.7868859767913818,0.4466666579246521,1.3262689113616943,0.6044444441795349
1.5743967294692993,0.5105952620506287,1.2070345878601074,0.6305555701255798
1.4218870401382446,0.5634523630142212,1.0718579292297363,0.6827777624130249
1.3234062194824219,0.585357129573822,0.9320540428161621,0.7372221946716309
1.1968626976013184,0.6207143068313599,0.8847684860229492,0.7311111092567444
1.1565858125686646,0.6365476250648499,0.8454093337059021,0.754444420337677
1.112064242362976,0.6497619152069092,0.8084403276443481,0.7516666650772095
1.0413633584976196,0.6741666793823242,0.7803295254707336,0.769444465637207
0.9965221881866455,0.684166669845581,0.7722907066345215,0.7683333158493042
0.9701863527297974,0.694523811340332,0.6984656453132629,0.7950000166893005
0.9514679312705994,0.6977381110191345,0.697884738445282,0.7922222018241882
0.9058200716972351,0.7176190614700317,0.7097291350364685,0.7844444513320923
0.8735389709472656,0.7266666889190674,0.6903433799743652,0.8016666769981384
0.8560359477996826,0.7307142615318298,0.6273024678230286,0.8166666626930237
0.8212745785713196,0.7401190400123596,0.6259192824363708,0.820555567741394
0.7937852740287781,0.7509523630142212,0.6583378911018372,0.8199999928474426
0.7925451993942261,0.7517856955528259,0.6643158793449402,0.8105555772781372
0.7734512686729431,0.7583333253860474,0.6422570943832397,0.8244444727897644
0.7283363938331604,0.7664285898208618,0.6061273217201233,0.8333333134651184
0.7156782746315002,0.7683333158493042,0.6252772212028503,0.8311111330986023
0.6930721402168274,0.7815476059913635,0.5826672315597534,0.8372222185134888
0.6969226002693176,0.7772619128227234,0.6065319180488586,0.8294444680213928
0.6712837219238281,0.7809523940086365,0.6040549278259277,0.8266666531562805
0.6650204658508301,0.7879762053489685,0.5664688944816589,0.8450000286102295
0.6467491984367371,0.7900000214576721,0.5790828466415405,0.8366666436195374
0.6197172999382019,0.8011904954910278,0.5632218718528748,0.8527777791023254
0.6195029616355896,0.7953571677207947,0.5318801403045654,0.8527777791023254
